SmartLog JointAnalysis v1.0 - Tubing Thickness
188, 16, 16
Item,Top,Bottom,Length,NomOD,Weight,TNom,TMin,TMax,TAvg,TRmn,MaxLoss%,DptMxLos,AvLoss %,Defect %,Grade,Comment
40,1200.12029534547,1200.97075899949,0.850463654014902,4.5,11.6,0.25,0.234445311608024,0.237053325356312,0.235693810529535,0.0143061894704651,6.22187535679041,1200.2,5.72247578818603,0.529712222270889,Negligible,
41,1202.97075899949,1241.41128325612,38.4405242566284,4.5,11.6,0.25,0.237268775841406,0.253783968043874,0.2436601111159,0.00633988888409975,5.09248966343761,1204.61650390625,2.5359555536399,2.62305358280582,Negligible,
42,1243.41128325612,1265.19981927544,21.7885360193254,4.5,11.6,0.25,0.245302746123796,0.272200955780569,0.249872315690474,0.000127684309525616,1.87890155048167,1265.11650390625,0.0510737238102466,1.82876184344449,Negligible,
43,1268.19981927544,1281.58039459827,13.3805753228287,4.5,11.6,0.25,0.242190000048803,0.244769812403474,0.243095457844459,0.00690454215554059,3.12399998047886,1277.61650390625,2.76181686221624,0.372470059163306,Light,
44,1283.58039459827,1323.1065705128,39.5261759145246,4.5,11.6,0.25,0.240806229262791,0.271506113818266,0.246837894304982,0.00316210569501815,3.67750829488361,1307.28325195313,1.26484227800726,2.44357336590241,Light,
45,1325.1065705128,1346.78259378691,21.6760232741124,4.5,11.6,0.25,0.24296886024417,0.255647156519801,0.245911832572237,0.00408816742776347,2.8124559023319,1346.7,1.63526697110539,1.19675913813614,Negligible,
46,1349.78259378691,1363.54709476942,13.7645009825162,4.5,11.6,0.25,0.241484857180057,0.246860190442152,0.243230822344996,0.00676917765500429,3.40605712797704,1362.28325195313,2.70767106200172,0.717822333578203,Light,
47,1365.54709476942,1387.84323112354,22.2961363541126,4.5,11.6,0.25,0.239450005698891,0.250692675212508,0.241626531311818,0.00837346868818217,4.21999772044378,1387.78325195313,3.34938747527287,0.9007808873929,Light,
48,1390.84323112354,1403.71620611158,12.8729749880417,4.5,11.6,0.25,0.238126748777922,0.243329506795613,0.241310686678712,0.008689313321288,4.74930048883111,1402.61650390625,3.4757253285152,1.31943510029001,Light,
49,1405.71620611158,1428.09611821748,22.3799121058994,4.5,11.6,0.25,0.242935706667162,0.260914213795599,0.247914617986673,0.00208538201332717,2.82571733313502,1428.03325195313,0.834152805330868,2.00831696006649,Negligible,
50,1431.09611821748,1444.69955619716,13.603437979677,4.5,11.6,0.25,0.242358205143619,0.283995996742137,0.244602344459084,0.00539765554091612,3.05671794255229,1431.11650390625,2.15906221636645,0.917464352366416,Light,
51,1446.69955619716,1468.88750547321,22.1879492760559,4.5,11.6,0.25,0.241339825360214,0.245271153687041,0.242991955183728,0.00700804481627165,3.46406985591436,1468.86650390625,2.80321792650866,0.6799113255684,Light,
52,1471.88750547321,1485.14008045378,13.2525749805725,4.5,11.6,0.25,0.241104378206275,0.280841938696173,0.243624506467795,0.00637549353220451,3.55824871749016,1474.11650390625,2.55019741288181,1.03443134603293,Light,
53,1487.14008045378,1509.2750176076,22.1349371538165,4.5,11.6,0.25,0.243537456963121,0.245701957939521,0.244467777495256,0.00553222250474361,2.58501721475156,1487.95,2.21288900189744,0.380549347512003,Negligible,
54,1512.2750176076,1525.58060471041,13.3055871028116,4.5,11.6,0.25,0.245110512591634,0.25645838214438,0.247203891751998,0.00279610824800219,1.95579496334654,1512.28325195313,1.11844329920088,0.846822898105619,Negligible,
